log_text,block_id,error_count,duration,test_failed,coverage,cpu_usage,memory_usage,past_failures,status,Failure_Risk,Performance_Risk,Test_Risk,Security_Risk
081110 144735 12785 INFO dfs.DataNode$DataXceiver: Receiving block blk_-5078186985701364847 src: /10.251.37.240:35757 dest: /10.251.37.240:50010,blk_-5078186985701364847,1,41,1,97,56,47,1,0,0,0,1,0
081111 062311 35 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.66.102:50010 is added to blk_-1932467763723526131 size 67108864,blk_-1932467763723526131,1,51,1,97,40,55,0,0,0,0,0,0
081110 071154 7627 INFO dfs.DataNode$DataXceiver: 10.251.214.112:50010 Served block blk_4081177399275502985 to /10.251.110.68,blk_4081177399275502985,0,102,1,87,52,34,0,0,0,0,1,0
081110 103027 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_166171721314010075 is added to invalidSet of 10.251.30.85:50010,blk_166171721314010075,2,100,1,86,30,41,1,0,0,0,1,0
081110 143353 12141 INFO dfs.DataNode$DataXceiver: Receiving block blk_4959462704623252283 src: /10.251.125.174:44166 dest: /10.251.125.174:50010,blk_4959462704623252283,1,99,1,92,53,51,0,0,0,0,0,0
081110 214044 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.33:50010 is added to blk_-5159573936338473350 size 67108864,blk_-5159573936338473350,1,68,2,100,50,47,1,0,0,0,1,0
081111 072224 23062 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_-5504500392858491441 terminating,blk_-5504500392858491441,2,56,1,95,44,35,1,0,0,0,1,0
081111 024304 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.146:50010 is added to blk_9163807899833139121 size 67108864,blk_9163807899833139121,4,248,5,65,94,91,2,1,1,1,1,0
081110 120718 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.192:50010 is added to blk_-4619809198345103330 size 67108864,blk_-4619809198345103330,0,37,2,89,32,28,1,0,0,0,1,0
081111 053001 20539 INFO dfs.DataNode$PacketResponder: Received block blk_6329639726609402522 of size 67108864 from /10.251.107.19,blk_6329639726609402522,0,97,1,81,50,30,1,0,0,0,1,0
081111 045903 20579 INFO dfs.DataNode$DataXceiver: Receiving block blk_-8838632285969241889 src: /10.251.43.21:35844 dest: /10.251.43.21:50010,blk_-8838632285969241889,1,47,1,86,33,36,0,0,0,0,0,0
081110 224652 16437 INFO dfs.DataNode$PacketResponder: Received block blk_5648034804629064273 of size 67108864 from /10.251.91.159,blk_5648034804629064273,0,63,0,80,58,32,1,0,0,0,0,0
081110 123114 33 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.125.237:50010 is added to blk_4234385041723406944 size 67108864,blk_4234385041723406944,1,102,1,89,44,34,1,0,0,0,1,0
081111 023022 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_7336636250384047238 is added to invalidSet of 10.251.26.177:50010,blk_7336636250384047238,1,77,2,94,36,35,0,0,0,0,1,0
081110 214117 15141 INFO dfs.DataNode$PacketResponder: Received block blk_-8641647081502666269 of size 67108864 from /10.250.10.100,blk_-8641647081502666269,1,45,1,80,44,38,0,0,0,0,0,0
081110 105910 9510 INFO dfs.DataNode$PacketResponder: Received block blk_-5421365489363678155 of size 67108864 from /10.251.122.38,blk_-5421365489363678155,1,76,1,90,43,31,1,0,0,0,1,0
081110 210201 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_-2439225174716664723 is added to invalidSet of 10.251.42.207:50010,blk_-2439225174716664723,0,94,1,80,40,42,1,0,0,0,0,0
081110 212234 14745 INFO dfs.DataNode$PacketResponder: Received block blk_6698851413708497072 of size 67108864 from /10.251.74.134,blk_6698851413708497072,0,74,0,96,54,30,1,0,0,0,0,0
081110 210417 19 INFO dfs.FSDataset: Deleting block blk_-9017308542351369260 file /mnt/hadoop/dfs/data/current/subdir14/blk_-9017308542351369260,blk_-9017308542351369260,0,88,0,86,35,26,0,0,0,0,0,0
081110 013220 5704 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_4774656339381154282 terminating,blk_4774656339381154282,1,54,1,82,30,41,0,0,0,0,0,0
